<1699064063, 1.05, 1000, fifo, 20, uniform>
<0, 0.46, 1000, fifo, 50, uniform>
<1075607631, 2.14, 1000, fifo, 50, uniform>
<418028489, 2.14, 1000, fifo, 50, uniform>
<718041239, 2.15, 1000, fifo, 50, uniform>
<0, 2.35, 1000, fifo, 100, uniform>
<1531273755, 10.28, 1000, fifo, 100, uniform>
<647460047, 10.39, 1000, fifo, 100, uniform>
<667411279, 10.39, 1000, fifo, 100, uniform>
<0, 0.23, 1000, fifo, 200, uniform>
<354573777, 0.99, 1000, fifo, 200, uniform>
<701723973, 0.98, 1000, fifo, 200, uniform>
<272650769, 0.99, 1000, fifo, 200, uniform>
<362236643, 0.99, 1000, fifo, 200, uniform>
<0, 0.44, 1000, mru, 10, uniform>
<804598541, 0.88, 1000, mru, 10, uniform>
<553994909, 1.02, 1000, mru, 10, uniform>
<9436629, 1.03, 1000, mru, 10, uniform>
<1481025371, 1.04, 1000, mru, 10, uniform>
<0, 0.30, 1000, mru, 20, uniform>
<455580091, 0.94, 1000, mru, 20, uniform>
<88924040, 0.94, 1000, mru, 20, uniform>
<44354563, 0.94, 1000, mru, 20, uniform>
<243495959, 0.94, 1000, mru, 20, uniform>
<0, 0.23, 1000, mru, 50, uniform>
<653596943, 0.94, 1000, mru, 50, uniform>
<620369999, 0.94, 1000, mru, 50, uniform>
<0, 0.47, 1000, mru, 100, uniform>
<764455529, 0.87, 1000, mru, 100, uniform>
<339483563, 0.98, 1000, mru, 100, uniform>
<438947015, 0.99, 1000, mru, 100, uniform>
<1738566071, 0.99, 1000, mru, 100, uniform>
<0, 0.30, 1000, mru, 200, uniform>
<228326657, 2.45, 1000, mru, 200, uniform>
<488526383, 2.45, 1000, mru, 200, uniform>
<0, 0.24, 1000, lfu, 10, uniform>
<244762547, 0.95, 1000, lfu, 10, uniform>
<249603443, 0.96, 1000, lfu, 10, uniform>
<169189479, 0.96, 1000, lfu, 10, uniform>
<68582447, 1.02, 1000, lfu, 10, uniform>
